ID,Site,Sector,Vendor,Technology,Band,LAC,CI,Long,Lat,Height,Tilt,Azimuth,BCCH,BSIC,TCH1,TCH2,TCH3,TCH4,TCH5,TCH6,TCH7,TCH8,TCH9,TCH10,TCH11,TCH12,PSC,PCI
1,DHK_X0001,DHK_X0001_1,Huawei,2G,900,101,1,90.40514,23.7239,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DHK_X0001,DHK_X0001_2,Huawei,2G,900,101,2,90.40514,23.7239,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DHK_X0001,DHK_X0001_3,Huawei,2G,900,101,3,90.40514,23.7239,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DHK_X0005,DHK_X0005_1,Huawei,2G,900,101,4,90.416,23.7813,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,DHK_X0005,DHK_X0005_2,Huawei,2G,900,101,5,90.416,23.7813,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,DHK_X0005,DHK_X0005_3,Huawei,2G,900,101,6,90.416,23.7813,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,DHK_X0006,DHK_X0006_1,Huawei,2G,900,101,7,90.3995,23.7867,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,DHK_X0006,DHK_X0006_2,Huawei,2G,900,101,8,90.3995,23.7867,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,DHK_X0006,DHK_X0006_3,Huawei,2G,900,101,9,90.3995,23.7867,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,DHK_X0007,DHK_X0007_1,Huawei,2G,900,101,10,90.4093,23.8041,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,DHK_X0007,DHK_X0007_2,Huawei,2G,900,101,11,90.4093,23.8041,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,DHK_X0007,DHK_X0007_3,Huawei,2G,900,101,12,90.4093,23.8041,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,DHK_X0010,DHK_X0010_1,Huawei,2G,900,101,13,90.370776,23.743596,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,DHK_X0010,DHK_X0010_2,Huawei,2G,900,101,14,90.370776,23.743596,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
